sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
61,SA1,3.039407865301895e-4,3.0396576717633755e-4,3.040100481574721e-4,3.0403466075056045e-4,3.039407865301895e-4,9.387422037095399e-8
62,SA1,2.975409086523611e-4,2.975465720878928e-4,2.9764457077002197e-4,2.9765006590088875e-4,2.975409086523611e-4,1.0915724852765714e-7
63,SA1,2.741803222954636e-4,2.7426255016165603e-4,2.741522446461938e-4,2.7423362649602804e-4,2.741803222954636e-4,5.330420056444494e-8
64,SA1,2.802867187056621e-4,2.8039933066709594e-4,2.8026924324423154e-4,2.8038205614630844e-4,2.802867187056621e-4,9.533744064636664e-8
65,SA1,2.670662831189072e-4,2.671979266227244e-4,2.6717633308572967e-4,2.673061199660087e-4,2.670662831189072e-4,2.3983684710145777e-7
66,SA1,2.888789041046372e-4,2.8892079258353956e-4,2.8893785843921843e-4,2.889800408652555e-4,2.888789041046372e-4,1.0113676061831046e-7
67,SA1,2.8533920508603075e-4,2.853749625095427e-4,2.854527135898097e-4,2.85489079789964e-4,2.8533920508603075e-4,1.498747039332688e-7
68,SA1,2.9400810813854847e-4,2.9404673813351444e-4,2.9396844893809674e-4,2.9400736411924874e-4,2.9400810813854847e-4,-7.440192997289208e-10
69,SA1,3.1588438575213954e-4,3.158895831911244e-4,3.1589922961951e-4,3.1590467905378634e-4,3.1588438575213954e-4,2.0293301646794135e-8
70,SA1,3.426523544183719e-4,3.427086527167251e-4,3.426781032844727e-4,3.42734465269658e-4,3.426523544183719e-4,8.211085128609396e-8
71,SA1,3.1992322923108415e-4,3.1997651760256706e-4,3.1980425110440314e-4,3.198575611005775e-4,3.1992322923108415e-4,-6.566813050664288e-8
72,SA1,3.232508831318847e-4,3.2357494831082936e-4,3.2282771208360717e-4,3.231478988915893e-4,3.232508831318847e-4,-1.0298424029541895e-7
73,SA1,3.0749167532629447e-4,3.07504693050668e-4,3.076424300997776e-4,3.0765538524539873e-4,3.0749167532629447e-4,1.6370991910426118e-7
74,SA1,3.337642368981761e-4,3.340383568519586e-4,3.3396908959639485e-4,3.3424443025174323e-4,3.337642368981761e-4,4.801933535671207e-7
75,SA1,3.1697007026217067e-4,3.1698420259774443e-4,3.1701628977631366e-4,3.170303392008487e-4,3.1697007026217067e-4,6.026893867804549e-8
76,SA1,3.0778565918904735e-4,3.0821196576636686e-4,3.081209455985073e-4,3.0855288877441954e-4,3.0778565918904735e-4,7.672295853721855e-7
77,SA1,3.45994097600949e-4,3.460099378151952e-4,3.4613429735551066e-4,3.461496359393425e-4,3.45994097600949e-4,1.5553833839350396e-7
78,SA1,2.763068764681833e-4,2.7634323971029927e-4,2.76233211796274e-4,2.762697065213368e-4,2.763068764681833e-4,-3.71699468464581e-8
79,SA1,3.109893782892153e-4,3.110386486221158e-4,3.112074968356446e-4,3.1125639651128327e-4,3.109893782892153e-4,2.6701822206798157e-7
80,SA1,3.050580705448409e-4,3.051918676408305e-4,3.0521584135707294e-4,3.0535036438870635e-4,3.050580705448409e-4,2.922938438654622e-7
81,SA1,3.333512660681446e-4,3.335605593694069e-4,3.334594321334985e-4,3.3366691195047356e-4,3.333512660681446e-4,3.1564588232898356e-7
82,SA1,2.783840671959594e-4,2.784019876314623e-4,2.783983780158105e-4,2.784156960618539e-4,2.783840671959594e-4,3.16288658944717e-8
83,SA1,3.43193507927952e-4,3.434701925069662e-4,3.4344264050572724e-4,3.437181516677566e-4,3.43193507927952e-4,5.246437398045826e-7
84,SA1,2.9792115899753517e-4,2.9794020023735394e-4,2.978909811787422e-4,2.979101300398594e-4,2.9792115899753517e-4,-1.1028957675786061e-8
85,SA1,2.740600196574305e-4,2.7422159153082823e-4,2.7429298763089523e-4,2.7445758453467997e-4,2.740600196574305e-4,3.9756487724948485e-7
86,SA1,2.3693057529193038e-4,2.372178721854662e-4,2.3717268875334078e-4,2.3745707591617458e-4,2.3693057529193038e-4,5.265006242441959e-7
87,SA1,2.6069711665716575e-4,2.610225369727062e-4,2.6057759159441675e-4,2.6090170055486576e-4,2.6069711665716575e-4,2.045838977000067e-7
88,SA1,3.283284321137555e-4,3.284413794050564e-4,3.283504238563775e-4,3.284611486292553e-4,3.283284321137555e-4,1.327165154997828e-7
89,SA1,2.99695661777209e-4,2.999152338425701e-4,2.9984366862339916e-4,3.0006001970890014e-4,2.99695661777209e-4,3.6435793169116134e-7
90,SA1,2.9405576951443377e-4,2.942608110884924e-4,2.9357365855860846e-4,2.937804790281425e-4,2.9405576951443377e-4,-2.752904862912643e-7
91,SA1,3.1626382108204725e-4,3.1666239759961545e-4,3.168097886498901e-4,3.1721033129669294e-4,3.1626382108204725e-4,9.465102146456934e-7
92,SA1,3.1452548447142165e-4,3.1452817641579105e-4,3.1451536065816985e-4,3.145178604547612e-4,3.1452548447142165e-4,-7.624016660448974e-9
93,SA1,3.3214280613741014e-4,3.323144962185154e-4,3.319695620215947e-4,3.3214128826348284e-4,3.3214280613741014e-4,-1.5178739272967735e-9
94,SA1,3.0736573053863456e-4,3.073783240641368e-4,3.0731595800074363e-4,3.0732879637844474e-4,3.0736573053863456e-4,-3.693416018981993e-8
95,SA1,2.993574545979834e-4,2.995414961235412e-4,2.99291963246931e-4,2.9947675788774374e-4,2.993574545979834e-4,1.193032897603614e-7
96,SA1,3.1195349348425526e-4,3.120271311228178e-4,3.120248159489107e-4,3.1209957161066113e-4,3.1195349348425526e-4,1.4607812640586582e-7
97,SA1,3.329967909853794e-4,3.330012194014276e-4,3.330015195287857e-4,3.330058759284857e-4,3.329967909853794e-4,9.084943106293063e-9
98,SA1,2.864716066139268e-4,2.8649111719187577e-4,2.865279402990295e-4,2.8654728417223507e-4,2.864716066139268e-4,7.567755830827604e-8
99,SA1,2.908032646024468e-4,2.90852612627097e-4,2.90901922419757e-4,2.909516214537358e-4,2.908032646024468e-4,1.483568512890233e-7
100,SA1,2.7299927706924136e-4,2.730030452357151e-4,2.7304381877525153e-4,2.7304760264222963e-4,2.7299927706924136e-4,4.832557298827065e-8
101,SA1,3.009860833628147e-4,3.0114192816812666e-4,3.0114201486461996e-4,3.0129952784272975e-4,3.009860833628147e-4,3.1344447991505427e-7
102,SA1,3.330940351355415e-4,3.331045769748883e-4,3.3311287336454447e-4,3.3312329377565105e-4,3.330940351355415e-4,2.9258640109569405e-8
103,SA1,3.363855146002588e-4,3.3671506894974285e-4,3.3709332859438863e-4,3.374194037184901e-4,3.363855146002588e-4,1.0338891182312985e-6
104,SA1,2.6308386860171703e-4,2.6314363829272393e-4,2.629717239479262e-4,2.6303052773610225e-4,2.6308386860171703e-4,-5.3340865614781054e-8
105,SA1,2.596890974461665e-4,2.597181899398033e-4,2.59626684550241e-4,2.596557465628035e-4,2.596890974461665e-4,-3.3350883362978385e-8
106,SA1,2.898102373385391e-4,2.9022950550437846e-4,2.90529522187928e-4,2.909600718062673e-4,2.898102373385391e-4,1.1498344677281919e-6
107,SA1,2.1153850406468457e-4,2.1155298143026556e-4,2.1155895597152008e-4,2.1157355283728436e-4,2.1153850406468457e-4,3.504877259979163e-8
108,SA1,2.6719110462461226e-4,2.674369727281758e-4,2.6739190643371456e-4,2.676359105373968e-4,2.6719110462461226e-4,4.448059127845302e-7
109,SA1,2.6053609198569024e-4,2.607859542097106e-4,2.6021366134726295e-4,2.6046677587664374e-4,2.6053609198569024e-4,-6.931610904649301e-8
110,SA1,2.734943360933388e-4,2.7352519777646577e-4,2.73524815256604e-4,2.7355512726844506e-4,2.734943360933388e-4,6.079117510624692e-8
111,SA1,2.9535067311069896e-4,2.9555876250218224e-4,2.954783215426703e-4,2.9568744191452655e-4,2.9535067311069896e-4,3.367688038275981e-7
112,SA1,3.0723857093210453e-4,3.0725982520186067e-4,3.072263935867241e-4,3.0724778713411556e-4,3.0723857093210453e-4,9.216202011025788e-9
113,SA1,3.027137322544411e-4,3.0282641008871707e-4,3.029108712702839e-4,3.030223831431116e-4,3.027137322544411e-4,3.086508886705145e-7
114,SA1,2.917506668570433e-4,2.917660032470366e-4,2.918296021554981e-4,2.918447429144407e-4,2.917506668570433e-4,9.407605739742992e-8
115,SA1,2.8287277822884745e-4,2.830424886893051e-4,2.8315194359403205e-4,2.833214483468576e-4,2.8287277822884745e-4,4.4867011801013375e-7
116,SA1,2.76146045488716e-4,2.7628177383320923e-4,2.761475512184191e-4,2.7628226457778e-4,2.76146045488716e-4,1.362190890640295e-7
117,SA1,3.008271931094365e-4,3.0088889132609764e-4,3.010604672187335e-4,3.0112276756217226e-4,3.008271931094365e-4,2.955744527357424e-7
118,SA1,2.892252814718075e-4,0.00028923632249749307,2.8921636433135536e-4,2.8922733569969675e-4,2.892252814718075e-4,2.054227889246134e-9
119,SA1,2.7861347828022454e-4,2.786385089215932e-4,2.7840872779272844e-4,2.7843364848862437e-4,2.7861347828022454e-4,-1.798297916001776e-7
120,SA1,2.7968865599714923e-4,2.7990267994947466e-4,2.799408513487345e-4,2.801555702381812e-4,2.7968865599714923e-4,4.6691424103196535e-7
121,SA1,2.8363237199276675e-4,2.8371199100457595e-4,2.8363897733188004e-4,2.8371972656400914e-4,2.8363237199276675e-4,8.735457124239019e-8
122,SA1,3.2807709770636494e-4,3.2811392157638356e-4,3.280071819809558e-4,3.280441943505167e-4,3.2807709770636494e-4,-3.290335584825747e-8
123,SA1,2.960311128705308e-4,2.9613376820254576e-4,2.9608057866170297e-4,2.9618348093238056e-4,2.960311128705308e-4,1.5236806184977785e-7
124,SA1,2.865715434972963e-4,2.867544173071322e-4,2.868578674418569e-4,2.870426801712938e-4,2.865715434972963e-4,4.711366739974668e-7
125,SA1,2.897403651428561e-4,2.8979772740758924e-4,2.8984923230140084e-4,2.8990640286256783e-4,2.897403651428561e-4,1.6603771971175152e-7
126,SA1,3.090808537936137e-4,3.091376531911246e-4,3.089819882591975e-4,3.0903800876360223e-4,3.090808537936137e-4,-4.284503001147043e-8
127,SA1,2.959269880477068e-4,2.9595977545793066e-4,2.9595322016615907e-4,2.959859533053101e-4,2.959269880477068e-4,5.8965257603276616e-8
128,SA2,2.850029335495011e-4,2.8504478607691957e-4,2.8500471852746165e-4,2.850463320734289e-4,2.850029335495011e-4,4.3398523927751925e-8
129,SA2,3.2793941393799853e-4,3.281229814415299e-4,3.279836881831568e-4,3.281665563145829e-4,3.2793941393799853e-4,2.2714237658436835e-7
130,SA2,3.0272942795691416e-4,3.027662150392574e-4,3.0283013428902936e-4,3.028677634298577e-4,3.0272942795691416e-4,1.3833547294353704e-7
131,SA2,3.136900734664438e-4,3.137167233000868e-4,3.136100914129702e-4,3.1363739370418256e-4,3.136900734664438e-4,-5.267976226124233e-8
132,SA2,3.066015744524501e-4,3.0678597811470236e-4,3.068957706710691e-4,3.070784367080505e-4,3.066015744524501e-4,4.768622556003757e-7
133,SA2,2.998357627168639e-4,0.00030009497108196093,2.9994550728854486e-4,3.002079821188467e-4,2.998357627168639e-4,3.7221940198280384e-7
134,SA2,3.318335002548723e-4,3.320347911618977e-4,3.3238212757649005e-4,3.325802480693501e-4,3.318335002548723e-4,7.467478144778045e-7
135,SA2,3.0849620291873814e-4,3.0876079099453175e-4,3.0890102958233337e-4,3.091666780783154e-4,3.0849620291873814e-4,6.704751595772445e-7
136,SA2,2.9751753396784674e-4,2.9752631724920965e-4,2.975426471157181e-4,2.9755170251597634e-4,2.9751753396784674e-4,3.4168548129602256e-8
137,SA2,3.068346751473102e-4,3.068469283397838e-4,3.0684140347127643e-4,3.0685398914351986e-4,3.068346751473102e-4,1.9313996209649464e-8
138,SA2,2.9178549965731766e-4,2.919097423399529e-4,2.9185414938004975e-4,2.919757262683713e-4,2.9178549965731766e-4,1.9022661105366247e-7
139,SA2,2.931897524855152e-4,2.934941891991703e-4,2.936003613555357e-4,2.9390826645176853e-4,2.931897524855152e-4,7.185139662533213e-7
140,SA2,2.9579632161189713e-4,2.9584751750740224e-4,2.9591889652581766e-4,2.9597061048654755e-4,2.9579632161189713e-4,1.742888746504123e-7
141,SA2,2.9075022203267517e-4,2.9111908360326076e-4,2.9118520084731763e-4,2.915567432629568e-4,2.9075022203267517e-4,8.06521230281652e-7
142,SA2,3.182399958177607e-4,3.182929482242927e-4,3.1815397075500736e-4,3.1820593637590114e-4,3.182399958177607e-4,-3.405944185957662e-8
